route_id,number_of_stops,number_of_packages,total_planned_service_time_seconds,average_stop_latitude,average_stop_longitude,geographic_spread_km,average_package_volume_cm3,vehicle_capacity_cm3,route_score
RouteID_db33e978-c952-4922-8d57-6831ed284142,170,290,20112.1,42.435320352941176,-71.05974165882354,0.7357632195599196,10522.42186551724,3313071.0,Medium
RouteID_2859fe5b-2154-4b0d-97d1-1dae8046e5a9,154,289,19120.300000000003,33.697823123376615,-117.75452232467534,0.678786856884926,11470.730003460207,4247527.0,High
RouteID_0861441a-2da3-42cb-a2a3-cea549ad520e,153,241,18806.199999999997,34.12622707843137,-117.57546183660128,0.8036821968369268,13115.950464730293,3313071.0,Medium
RouteID_fdfa5d8f-87cd-45ac-a837-11b15bdc6a47,150,285,16118.099999999982,33.680078353333336,-117.82201386000001,0.5598459146118959,10229.120105263159,3313071.0,High
RouteID_5f318faa-c9d2-4e60-b065-03271f33b21a,148,220,14860.099999999988,33.864012047297294,-117.53759377702704,2.0683147089930802,8853.065609090909,3313071.0,Medium
RouteID_54cdd958-37bb-4862-902c-01ee65a2100c,171,240,13926.800000000005,34.13556928070175,-117.76591474853802,1.2435750410601678,11104.394737499999,3313071.0,High
RouteID_4cd39093-4444-4bee-b342-444a00a70dfc,179,293,18655.199999999993,42.08905210055866,-87.97407043016759,0.9479893439774691,13104.471624573378,4247527.0,Medium
RouteID_311f1462-3ad6-46ec-a49b-f1c774ea5d2b,108,243,14442.600000000008,41.881269916666675,-87.68000413888889,0.865414790697942,10716.69162962963,3313071.0,Medium
RouteID_fc6d2d29-d1cc-4410-873a-9db798d6a6a9,185,260,16091.1,41.92929618918919,-88.28111456216216,1.3134799072185959,9077.970688461539,3313071.0,Medium
RouteID_252e3640-9a9e-4979-aa9d-37346d872352,134,231,13280.099999999991,33.869027619402985,-118.07550456716417,0.8052508422697859,14184.841753246754,3313071.0,High
RouteID_e7c60ed0-023d-42c5-a5ca-d173665b78a3,147,225,18963.900000000005,33.77491544217688,-118.39354585034013,0.6800325366246979,10286.753444444445,3313071.0,Medium
RouteID_fda25deb-f73c-41df-aeca-e14edfc0c8b2,93,194,12800.099999999991,34.036837150537636,-118.2123510967742,0.9154702185084364,8985.768175257732,3313071.0,High
RouteID_bbd19c5d-319d-4d73-aeff-a70e877f062b,145,220,14148.599999999999,42.26006406206897,-71.52366992413793,2.7574592733395673,12445.697645454546,4247527.0,Medium
RouteID_1f592c48-8646-4194-b6a3-d5fd027e11b5,155,242,16779.600000000006,33.92551288387097,-117.85253612903225,1.3282774154311607,9834.88558677686,3313071.0,Medium
RouteID_cafcb29c-ff5b-4cf7-b7bb-03aecc310f62,137,227,15041.699999999986,33.648758240875914,-117.66741489781023,1.0267329258454316,11546.052317180618,4247527.0,Medium
RouteID_92ac7c22-a275-4f96-bca6-90bf9bd34f47,103,206,9512.899999999998,34.09844561165049,-118.38337981553398,0.659031385689547,12969.00599514563,4247527.0,Medium
RouteID_0a8650ca-77d1-459b-a8dd-da8442bbf1cf,142,220,14273.99999999999,47.26310568309859,-122.49705641549298,0.7971960410169578,10384.205222727274,4247527.0,Medium
RouteID_09d597c9-ae5c-4fe8-8379-710bf99f3184,173,246,18617.799999999996,47.93830387861272,-122.21588069364162,1.3285080563614144,12720.847849593496,3313071.0,High
RouteID_21e13e3e-ea4a-4556-8b7f-3ddd7c20b1a9,154,268,21316.09999999999,42.01142138311688,-87.69349733766234,0.7306003692394902,10569.529156716419,3313071.0,High
RouteID_4b0f8b14-9dbf-4cd0-9ad0-f9b6ce31bb4d,96,161,7909.000000000001,34.01671610416667,-117.5792345,1.2403389431743228,11842.537509316771,3313071.0,Medium
RouteID_503e4336-5e92-4d31-ae63-665c8c521373,146,230,17882.7,33.533664253424654,-117.72094722602739,1.1593950893162477,10342.800891304349,3313071.0,High
RouteID_ae563d27-1d0a-4018-b0de-d1f848666aac,172,298,21809.100000000006,33.64783177325582,-117.66594303488372,0.9197227816026265,9656.947338926173,4247527.0,Medium
RouteID_ce9be28a-b6b0-4e9b-b290-09a1463aee7a,154,221,12911.800000000007,33.89352813636364,-117.538529987013,0.9228141438778237,10322.344438914024,3313071.0,High
RouteID_08d62dfb-b7a1-4248-ae10-3c101e8191b3,145,214,16231.299999999992,33.85837419310345,-117.96900892413792,0.750795530923744,9583.851364485983,3313071.0,High
RouteID_c1d47f73-895b-465d-8c4c-a3eeae4bfc87,123,230,20638.000000000015,33.67632589430894,-117.99809038211382,0.7216004591241952,11174.68376521739,3313071.0,High
RouteID_4449a5ec-3a32-4188-86bb-c4c7253de5c2,144,182,14219.900000000001,41.68357549305555,-87.98767120138889,2.6971610520272224,13444.252703296705,3313071.0,Medium
RouteID_f5adea36-6273-46a5-b2d5-28cbf0f2a470,124,201,17310.5,47.59012017741935,-122.06737393548386,1.1006116380993902,11554.00625870647,3313071.0,High
RouteID_debe7647-dc94-46b5-927b-a1777c7c18f4,169,262,14902.999999999987,33.74493781656804,-117.98159375147927,1.129681698416929,11456.625927480916,3313071.0,High
RouteID_f0e76870-9adb-49be-92ff-27c2dae92baf,186,255,14633.69999999999,47.500483725806454,-122.36421741397851,0.966778721149899,11803.87343529412,3313071.0,Medium
RouteID_bbb25783-0a9b-4ecd-a6fd-8f934336a2a6,148,206,14886.700000000004,41.73834987162162,-87.90984202027028,1.5775403111323092,11151.600101941747,3313071.0,Medium
RouteID_921df874-53dd-4478-b398-4fed2587fded,197,274,16876.899999999998,41.83147965482234,-88.07276762944163,1.167314181565497,9377.41352189781,3313071.0,Low
RouteID_4ba0d71d-b87a-4bad-81a8-e4645e118ca4,84,192,17736.30000000002,41.94159282142858,-87.72210292857143,0.4371546400467772,9803.607875,3313071.0,High
RouteID_9c685872-7dc5-4c64-9c81-f86d63e52ec1,170,279,19108.499999999996,47.79169846470589,-122.25395961176469,1.1050277970539686,11279.156956989247,3313071.0,Medium
RouteID_cac31fca-41f1-43fb-b4cf-1c1af9e3480b,149,202,15842.89999999999,42.16386441610738,-71.54202830201342,1.430905186756034,13451.63605940594,3313071.0,Medium
RouteID_603c0c32-083f-46c6-8fb1-6912811af9d0,157,211,18062.2,34.12441221656051,-117.27604121656053,1.9135400845837935,9305.559682464454,3313071.0,High
RouteID_01d0b1c1-2379-49b8-a24f-db0ae01fb2be,201,289,18344.6,34.25241405970149,-118.77882546268657,1.1470463335073267,10697.6833633218,3313071.0,Medium
RouteID_36e2ac14-d135-4292-8095-c25ec5a7d54a,147,228,12419.699999999999,33.82317711564626,-117.82332418367348,1.1288293062915546,10467.007206140352,3313071.0,High
RouteID_efc672fe-d3cc-44af-9334-ac01aa2bf7e8,169,228,14099.800000000001,48.08642496449704,-122.14606244970413,1.4204322597244234,9824.199798245614,3313071.0,Medium
RouteID_92ff1fdd-ad86-4a3d-be81-068a174a5b7b,176,240,13832.199999999995,47.290777806818184,-122.3902701534091,1.0947484230634068,11607.3175875,4247527.0,Medium
RouteID_76a048df-2e7e-4e65-946b-87810f5ffc76,139,252,16893.600000000006,34.1172719352518,-117.54866048201437,0.6567200805018374,8532.233543650793,3313071.0,High
RouteID_6017f7e8-369e-44e5-bd52-7e71e2aeb570,171,275,14336.69999999999,33.60995522807018,-117.68849854970762,0.7790473836215324,10911.981178181819,4247527.0,High
RouteID_3567e694-8715-4064-86eb-042254a67a7f,155,247,18492.899999999998,33.73065115483871,-117.96872618064518,0.9925555033974345,13500.07448987854,3313071.0,High
RouteID_4a0472b0-c5d2-450b-b4fc-9e725092134e,157,249,15491.899999999998,34.111070987261144,-117.8486833057325,1.0321154358934328,10491.083795180724,3313071.0,Medium
RouteID_7501eef4-17c1-4287-be32-8d6614a931b5,167,271,14379.200000000008,42.264830245508975,-70.98355138922155,1.8903022106057723,12041.374704797048,3313071.0,High
RouteID_25141480-1e16-4288-b5cb-a03a227f2dd1,149,217,18912.199999999997,42.25119993959731,-71.76740275838924,1.2742971107654377,11785.781437788017,3313071.0,Medium
RouteID_21a0b6cb-4d86-4a14-9fe0-cc16cbb12aae,107,250,23240.600000000006,42.349881056074764,-71.15369871028038,0.39605048177261754,13785.812103999999,4247527.0,Medium
RouteID_846dc94d-9cbc-43f0-a537-4a81c8d7fa8d,151,237,18588.79999999999,34.009677966887416,-118.26145569536425,0.8697997380760131,8059.864329113924,3313071.0,Medium
RouteID_235d19db-3c94-4c84-9c5a-eb68d02db745,152,252,16541.600000000006,33.79484274342105,-118.34239065131578,0.9024915552785128,10882.919226190475,3313071.0,High
RouteID_7c744e04-75ba-4f80-915c-d838b8a39827,133,245,20488.49999999999,34.025137902255636,-118.36686554135339,0.796711812027277,9583.479171428571,3313071.0,High
RouteID_779fffba-e463-4680-8686-7621c5413453,155,222,15184.099999999991,34.032857335483875,-117.8731976967742,1.4635910355819575,9335.79528828829,3313071.0,Medium
RouteID_cf7177d6-c74d-4cbf-8bf5-00d883e057ec,131,246,22588.700000000004,33.71571245038168,-118.05601229007632,1.2992351392212014,9644.809333333335,3313071.0,Medium
